scenario,seed,window_id,window_start,window_end,target_packets,target_received,background_packets,loss_rate,target_rate,background_rate,mean_delay,p95_delay,p99_delay,received_violation_prob,violation_prob
drift_strong,37,0,5.0,15.0,250,250,354,0.0,25.0,35.4,0.0022952743600000002,0.003055536999999999,0.004189068499999998,0.004,0.004
drift_strong,37,1,15.0,25.0,274,29,363,0.8941605839416058,27.4,36.3,0.002319716551724138,0.00321861,0.003658481199999999,0.0,0.8941605839416058
drift_strong,37,2,25.0,35.0,279,0,354,1.0,27.9,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,37,3,35.0,45.0,258,0,354,1.0,25.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,37,4,45.0,55.0,237,0,360,1.0,23.7,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,37,5,55.0,65.0,275,0,354,1.0,27.5,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,37,6,65.0,75.0,271,0,363,1.0,27.1,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,37,7,75.0,85.0,281,0,354,1.0,28.1,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,37,8,85.0,95.0,281,0,360,1.0,28.1,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,37,9,95.0,105.0,267,0,354,1.0,26.7,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,37,10,105.0,115.0,279,0,360,1.0,27.9,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,37,11,115.0,125.0,125,0,174,1.0,12.5,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong,41,0,5.0,15.0,280,280,354,0.0,28.0,35.4,0.002271001285714286,0.0030562335000000017,0.0042541466999999975,0.0,0.0
drift_strong,41,1,15.0,25.0,258,26,363,0.8992248062015504,25.8,36.3,0.00214629,0.00214629,0.00214629,0.0,0.8992248062015504
drift_strong,41,2,25.0,35.0,271,0,354,1.0,27.1,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,41,3,35.0,45.0,284,0,354,1.0,28.4,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,41,4,45.0,55.0,257,0,360,1.0,25.7,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,41,5,55.0,65.0,270,0,354,1.0,27.0,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,41,6,65.0,75.0,278,0,363,1.0,27.8,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,41,7,75.0,85.0,274,0,354,1.0,27.4,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,41,8,85.0,95.0,257,0,360,1.0,25.7,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,41,9,95.0,105.0,256,0,354,1.0,25.6,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,41,10,105.0,115.0,252,0,360,1.0,25.2,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,41,11,115.0,125.0,123,0,174,1.0,12.3,17.4,0.0,0.0,0.0,0.0,1.0
drift_strong,7,0,5.0,15.0,256,256,354,0.0,25.6,35.4,0.002356177421875,0.0038776675,0.0052854129999999975,0.0,0.0
drift_strong,7,1,15.0,25.0,301,23,363,0.9235880398671097,30.1,36.3,0.0022284456521739133,0.00214629,0.0036201624000000024,0.0,0.9235880398671097
drift_strong,7,2,25.0,35.0,292,0,354,1.0,29.2,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,7,3,35.0,45.0,277,0,354,1.0,27.7,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,7,4,45.0,55.0,272,0,360,1.0,27.2,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,7,5,55.0,65.0,279,0,354,1.0,27.9,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,7,6,65.0,75.0,257,0,363,1.0,25.7,36.3,0.0,0.0,0.0,0.0,1.0
drift_strong,7,7,75.0,85.0,268,0,354,1.0,26.8,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,7,8,85.0,95.0,264,0,360,1.0,26.4,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,7,9,95.0,105.0,267,0,354,1.0,26.7,35.4,0.0,0.0,0.0,0.0,1.0
drift_strong,7,10,105.0,115.0,275,0,360,1.0,27.5,36.0,0.0,0.0,0.0,0.0,1.0
drift_strong,7,11,115.0,125.0,137,0,174,1.0,13.7,17.4,0.0,0.0,0.0,0.0,1.0
load_high,11,0,5.0,15.0,1742,1742,118,0.0,174.2,11.8,0.002193986607347876,0.003960386499999997,0.005153598399999999,0.0,0.0
load_high,11,1,15.0,25.0,1952,1952,121,0.0,195.2,12.1,0.002335947556352459,0.004557787499999999,0.006357196200000002,0.0,0.0
load_high,11,2,25.0,35.0,1830,1830,118,0.0,183.0,11.8,0.002252584448087432,0.0043023895,0.005993334500000001,0.0,0.0
load_high,11,3,35.0,45.0,1937,1937,118,0.0,193.7,11.8,0.002302933092410945,0.004403184,0.005764086799999998,0.0005162622612287042,0.0005162622612287042
load_high,11,4,45.0,55.0,1864,1864,120,0.0,186.4,12.0,0.00220553027360515,0.003917267999999999,0.005301633299999999,0.0,0.0
load_high,11,5,55.0,65.0,1846,1846,118,0.0,184.6,11.8,0.0022983154225352112,0.004439735,0.006413876499999999,0.0,0.0
load_high,11,6,65.0,75.0,1932,1932,121,0.0,193.2,12.1,0.002291180631469979,0.004391875999999997,0.005883318900000002,0.0,0.0
