seed,scenario,variant,variant_label,delay_mae,risk_mae,coverage,auroc,recall_at_10
11,vacation_high,c_b_2x,$c_b$ 2x,0.042747633995318876,0.1552096621409329,0.912,0.8542222222222222,0.4
11,drift_strong,c_b_2x,$c_b$ 2x,0.531121667744136,1.1764782438522732,0.684,0.8263111111111111,0.52
11,overall,delta_u_0.04,$\delta_u=0.04$,0.017467090440578738,0.06527151530605546,0.936,0.8556444444444444,0.56
11,load_high,delta_u_0.04,$\delta_u=0.04$,0.13896588961148593,0.5001008135620946,0.6,0.8117333333333333,0.36
11,vacation_high,delta_u_0.04,$\delta_u=0.04$,0.04286331358378299,0.15548209362234708,0.912,0.8545777777777778,0.44
11,drift_strong,delta_u_0.04,$\delta_u=0.04$,0.5312887246224266,1.1798022938094301,0.684,0.8257777777777778,0.52
11,overall,delta_u_0.12,$\delta_u=0.12$,0.017467090440578738,0.06527151530605546,0.936,0.8556444444444444,0.56
11,load_high,delta_u_0.12,$\delta_u=0.12$,0.13896588961148593,0.5001008135620946,0.6,0.8117333333333333,0.36
11,vacation_high,delta_u_0.12,$\delta_u=0.12$,0.04286331358378299,0.15548209362234708,0.912,0.8545777777777778,0.44
11,drift_strong,delta_u_0.12,$\delta_u=0.12$,0.5312887246224266,1.1798022938094301,0.684,0.8257777777777778,0.52
11,overall,delta_u_0.16,$\delta_u=0.16$,0.017467090440578738,0.06527151530605546,0.936,0.8556444444444444,0.56
11,load_high,delta_u_0.16,$\delta_u=0.16$,0.13896588961148593,0.5001008135620946,0.6,0.8117333333333333,0.36
11,vacation_high,delta_u_0.16,$\delta_u=0.16$,0.04286331358378299,0.15548209362234708,0.912,0.8545777777777778,0.44
11,drift_strong,delta_u_0.16,$\delta_u=0.16$,0.5312887246224266,1.1798022938094301,0.684,0.8257777777777778,0.52
13,overall,baseline,Baseline,0.015587359636816196,0.05981739596225895,0.992,0.8924444444444445,0.4
13,load_high,baseline,Baseline,0.152543443633061,0.5486009752850022,0.64,0.8336,0.28
13,vacation_high,baseline,Baseline,0.043375423889963946,0.1652160728861978,0.96,0.8494222222222222,0.48
13,drift_strong,baseline,Baseline,0.6007948240226083,1.3099610228799643,0.696,0.7934222222222223,0.4
13,overall,c_v_0x,$c_v$ 0x,0.015621358674608276,0.0601578700458832,0.992,0.8926222222222222,0.4
13,load_high,c_v_0x,$c_v$ 0x,0.1529080581657495,0.5494353742036279,0.64,0.8337777777777777,0.28
13,vacation_high,c_v_0x,$c_v$ 0x,0.043950485501390836,0.1661324181595395,0.96,0.8492444444444445,0.48
13,drift_strong,c_v_0x,$c_v$ 0x,0.6012092021063861,1.3110493476477587,0.696,0.7934222222222223,0.4
13,overall,c_v_0.5x,$c_v$ 0.5x,0.015602671322422835,0.05998587365201933,0.992,0.8926222222222222,0.4
13,load_high,c_v_0.5x,$c_v$ 0.5x,0.1527247822232043,0.5490171076199676,0.64,0.8337777777777777,0.28
13,vacation_high,c_v_0.5x,$c_v$ 0.5x,0.04366023380011767,0.16567334814556944,0.96,0.8492444444444445,0.48
13,drift_strong,c_v_0.5x,$c_v$ 0.5x,0.6010001411332829,1.3105058101935316,0.696,0.7934222222222223,0.4
13,overall,c_v_1.5x,$c_v$ 1.5x,0.015576552949323957,0.05965319856843532,0.992,0.8922666666666667,0.4
13,load_high,c_v_1.5x,$c_v$ 1.5x,0.15236210504291767,0.5481866988271015,0.636,0.8336,0.28
13,vacation_high,c_v_1.5x,$c_v$ 1.5x,0.04309486478769021,0.1647576565931297,0.96,0.8496,0.48
13,drift_strong,c_v_1.5x,$c_v$ 1.5x,0.6005908083477688,1.3094149817664344,0.696,0.7932444444444444,0.4
13,overall,c_v_2x,$c_v$ 2x,0.015570649026058541,0.059496215810018696,0.992,0.8922666666666667,0.4
13,load_high,c_v_2x,$c_v$ 2x,0.15218076645277437,0.5477735939422471,0.636,0.8336,0.28
13,vacation_high,c_v_2x,$c_v$ 2x,0.04281827412383333,0.16430408798633456,0.96,0.8496,0.48
13,drift_strong,c_v_2x,$c_v$ 2x,0.6003867926729293,1.3088775612330943,0.696,0.7932444444444444,0.4
13,overall,c_u_0x,$c_u$ 0x,0.015589276900886153,0.060247455378564733,0.992,0.8928,0.4
13,load_high,c_u_0x,$c_u$ 0x,0.15312502398964772,0.5500726569090464,0.64,0.8337777777777777,0.28
13,vacation_high,c_u_0x,$c_u$ 0x,0.043903768355021425,0.1659549136471906,0.96,0.8496,0.48
13,drift_strong,c_u_0x,$c_u$ 0x,0.6012385109949607,1.3111638901556102,0.696,0.7939555555555555,0.4
13,overall,c_u_0.5x,$c_u$ 0.5x,0.015586971048901098,0.060029043169874646,0.992,0.8924444444444445,0.4
13,load_high,c_u_0.5x,$c_u$ 0.5x,0.15283281316048972,0.5493350155689088,0.64,0.8337777777777777,0.28
13,vacation_high,c_u_0.5x,$c_u$ 0.5x,0.0436358056278314,0.165586361644852,0.96,0.8496,0.48
13,drift_strong,c_u_0.5x,$c_u$ 0.5x,0.601014282033184,1.310508573459105,0.696,0.7937777777777778,0.4
13,overall,c_u_1.5x,$c_u$ 1.5x,0.015596188531936972,0.059615615323256585,0.992,0.8924444444444445,0.4
13,load_high,c_u_1.5x,$c_u$ 1.5x,0.15225607301664698,0.5478654400439757,0.636,0.8339555555555556,0.28
13,vacation_high,c_u_1.5x,$c_u$ 1.5x,0.04312437043544553,0.1648458636432349,0.96,0.8492444444444445,0.48
13,drift_strong,c_u_1.5x,$c_u$ 1.5x,0.6005756098425411,1.3094185592530543,0.696,0.7928888888888889,0.4
13,overall,c_u_2x,$c_u$ 2x,0.015610471163631812,0.05942367939743048,0.992,0.8924444444444445,0.4
13,load_high,c_u_2x,$c_u$ 2x,0.151968702400233,0.5471277764091935,0.632,0.8341333333333333,0.28
13,vacation_high,c_u_2x,$c_u$ 2x,0.04288464035901733,0.1644872230603332,0.96,0.8492444444444445,0.48
13,drift_strong,c_u_2x,$c_u$ 2x,0.6003626488613809,1.3088878825702537,0.696,0.7927111111111111,0.4
13,overall,c_b_0x,$c_b$ 0x,0.015608879381700719,0.05992696001444618,0.992,0.8920888888888889,0.4
13,load_high,c_b_0x,$c_b$ 0x,0.15272667916119284,0.5491079367461897,0.632,0.8341333333333333,0.28
13,vacation_high,c_b_0x,$c_b$ 0x,0.043539269105083184,0.1655099905567293,0.96,0.8492444444444445,0.48
13,drift_strong,c_b_0x,$c_b$ 0x,0.6010132581294505,1.3103449028141412,0.696,0.7937777777777778,0.44
13,overall,c_b_0.5x,$c_b$ 0.5x,0.015598119509258459,0.05987216925976259,0.992,0.8920888888888889,0.4
13,load_high,c_b_0.5x,$c_b$ 0.5x,0.15263364074626226,0.5488548643254607,0.64,0.8339555555555556,0.28
13,vacation_high,c_b_0.5x,$c_b$ 0.5x,0.04345534873691164,0.16536325289934334,0.96,0.8496,0.48
13,drift_strong,c_b_0.5x,$c_b$ 0.5x,0.6009032857198219,1.3101464374248417,0.696,0.7934222222222223,0.4
13,overall,c_b_1.5x,$c_b$ 1.5x,0.015577368959010773,0.059762641057174805,0.992,0.8926222222222222,0.4
