seed,policy,n,target_violation_reduction,p95_delay_reduction,trigger_rate,background_cost,false_alarm_cost,base_violation,controlled_violation,base_p95,controlled_p95
59,ewma_persistence_trigger,2070,0.06764176530137839,0.04668577632937133,0.22657004830917873,0.027188405797101446,0.20048309178743962,0.07370984122579403,0.06872397744519701,0.4680102085380909,0.44616078862241915
59,static_utilization_trigger,2070,0.13000502595592794,0.08741977581824696,0.22657004830917873,0.027188405797101446,0.1753623188405797,0.07370984122579403,0.06412719140402735,0.4680102085380909,0.42709686102704
59,random_trigger,2070,0.06444414970932434,0.04161963474424684,0.242512077294686,0.029101449275362318,0.21980676328502416,0.07370984122579403,0.06895967318278844,0.4680102085380909,0.44853179460215675
61,proposed_safe_trigger,2070,0.15974345785465818,0.10435300324783899,0.22415458937198068,0.02689855072463768,0.15603864734299516,0.07418125935961845,0.06233128848149977,0.46876009983960004,0.41984357561858093
61,direct_risk_trigger,2070,0.15339523553850978,0.09569672872478525,0.22608695652173913,0.027130434782608695,0.15797101449275364,0.07418125935961845,0.06280220760760649,0.46876009983960004,0.4239012917282466
61,ewma_persistence_trigger,2070,0.05542269543213773,0.042365985049038324,0.23285024154589373,0.027942028985507246,0.20917874396135266,0.07418125935961845,0.0700699340153579,0.46876009983960004,0.44890061645820983
61,static_utilization_trigger,2070,0.14420919153536274,0.10018936884746085,0.22946859903381642,0.02753623188405797,0.17681159420289855,0.07418125935961845,0.06348363992029281,0.46876009983960004,0.4217953212957978
61,random_trigger,2070,0.0666991905949883,0.05160144305921785,0.22753623188405797,0.027304347826086955,0.20241545893719806,0.07418125935961845,0.069233429403015,0.46876009983960004,0.44457140223929364
67,proposed_safe_trigger,2070,0.16030297381393765,0.08582618771129177,0.22946859903381642,0.02753623188405797,0.1608695652173913,0.06815953879201736,0.05723336202987053,0.4043674942033918,0.3696621737415468
67,direct_risk_trigger,2070,0.15440260922210905,0.07999347219722101,0.23671497584541062,0.028405797101449273,0.1681159420289855,0.06815953879201736,0.05763552815915432,0.4043674942033918,0.37202073429837285
67,ewma_persistence_trigger,2070,0.06340979723384035,0.03520198271952153,0.22608695652173913,0.027130434782608695,0.20483091787439614,0.06815953879201736,0.06383755625766346,0.4043674942033918,0.3901329566601078
67,static_utilization_trigger,2070,0.13091666555467207,0.07127166380329616,0.21980676328502416,0.0263768115942029,0.17053140096618358,0.06815953879201736,0.05923631924762213,0.4043674942033918,0.37554755010354635
67,random_trigger,2070,0.061352782195399636,0.03737373545324064,0.2178743961352657,0.026144927536231884,0.1927536231884058,0.06815953879201736,0.06397776145397183,0.4043674942033918,0.3892547704491444
71,proposed_safe_trigger,2070,0.14177810235739188,0.08612296433011625,0.22560386473429953,0.02707246376811594,0.15603864734299516,0.07097802353616744,0.06091489405013133,0.45137646160432277,0.4125025827021196
71,direct_risk_trigger,2070,0.15022319064349077,0.09289130322076322,0.22608695652173913,0.027130434782608695,0.15507246376811595,0.07097802353616744,0.06031547837499559,0.45137646160432277,0.40944751384272043
71,ewma_persistence_trigger,2070,0.05797771573268721,0.0331967306331343,0.23333333333333334,0.028,0.2072463768115942,0.07097802353616744,0.06686287986431955,0.45137646160432277,0.4363922387943068
