seed,scenario,method,delay_mae,risk_mae,coverage,auroc,recall_at_10
41,vacation_high,observable_descriptor,0.04086012040892141,0.14737804676217944,0.976,0.8565333333333334,0.44
41,drift_strong,learned_descriptor,0.7413210830280609,1.5264016895013508,0.628,0.7155555555555555,0.28
41,drift_strong,observable_descriptor,0.8564379394804666,1.654388868881119,0.82,0.7966222222222222,0.28
43,overall,learned_descriptor,0.019510896032962733,0.06949433060258511,0.964,0.912,0.48
43,overall,observable_descriptor,0.02281079497488669,0.07579353573330408,0.956,0.9248,0.48
43,load_high,learned_descriptor,0.14722837299824093,0.5237417868681876,0.64,0.7909333333333334,0.24
43,load_high,observable_descriptor,0.22929147834841968,0.6688951690946262,0.856,0.8090666666666667,0.36
43,vacation_high,learned_descriptor,0.04804393067439351,0.1889698109726514,0.912,0.8666666666666667,0.52
43,vacation_high,observable_descriptor,0.05808869134482214,0.20332438888895357,0.952,0.8682666666666666,0.48
43,drift_strong,learned_descriptor,0.5573064849598254,1.1969981534010647,0.74,0.8250666666666666,0.36
43,drift_strong,observable_descriptor,0.6529770946747073,1.3136868520341702,0.86,0.8988444444444444,0.44
47,overall,learned_descriptor,0.016863173099603414,0.06316201599868078,0.972,0.9002666666666667,0.56
47,overall,observable_descriptor,0.020922735966073566,0.06888530417379311,0.996,0.9004444444444445,0.52
47,load_high,learned_descriptor,0.1344176831565635,0.4726617961302155,0.708,0.8186666666666667,0.32
47,load_high,observable_descriptor,0.21171200684122737,0.6590319556158293,0.96,0.8727111111111111,0.44
47,vacation_high,learned_descriptor,0.051555761431359225,0.18157139391600555,0.932,0.8275555555555556,0.32
47,vacation_high,observable_descriptor,0.054254897982322976,0.1756987661788444,0.996,0.8535111111111111,0.36
47,drift_strong,learned_descriptor,0.6408190838257829,1.3144239933193371,0.712,0.8787555555555555,0.52
47,drift_strong,observable_descriptor,0.5478888668352103,1.1043161413908136,0.92,0.9383111111111111,0.6
53,overall,learned_descriptor,0.017224841570896588,0.06780725607017182,0.944,0.8451555555555555,0.44
53,overall,observable_descriptor,0.017956165858103182,0.06193877034414887,0.976,0.8547555555555556,0.48
53,load_high,learned_descriptor,0.13797895364543245,0.49465149110349876,0.636,0.8120888888888889,0.28
53,load_high,observable_descriptor,0.21608086435698057,0.6732951895931426,0.916,0.872,0.48
53,vacation_high,learned_descriptor,0.05311366015462943,0.19666849596690988,0.892,0.8293333333333334,0.32
53,vacation_high,observable_descriptor,0.04691172126335789,0.1805404997877968,0.972,0.8421333333333333,0.4
53,drift_strong,learned_descriptor,0.7287407660603498,1.5058154309914793,0.624,0.8327111111111111,0.36
53,drift_strong,observable_descriptor,0.6587908120711765,1.298958419911293,0.84,0.9015111111111112,0.48
