scenario,variant,variant_label,runs,seeds,delay_mae_mean,delay_mae_std,risk_mae_mean,risk_mae_std,coverage_mean,coverage_std,auroc_mean,auroc_std,recall_at_10_mean,recall_at_10_std
drift_strong,delta_u_0.04,$\delta_u=0.04$,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6518096734531836,0.08211218214204781,1.361890322935835,0.13807569769137046,0.6986,0.036689881008543104,0.8283022222222222,0.04665918870745833,0.442,0.08941917844447136
drift_strong,delta_u_0.12,$\delta_u=0.12$,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6518096734531836,0.08211218214204781,1.361890322935835,0.13807569769137046,0.6986,0.036689881008543104,0.8283022222222222,0.04665918870745833,0.442,0.08941917844447136
drift_strong,delta_u_0.16,$\delta_u=0.16$,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.6518096734531836,0.08211218214204781,1.361890322935835,0.13807569769137046,0.6986,0.036689881008543104,0.8283022222222222,0.04665918870745833,0.442,0.08941917844447136
load_high,baseline,Baseline,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13480108941700847,0.012881327168125218,0.4853108535742373,0.042041800129235724,0.6854,0.05515566488060001,0.7946755555555556,0.033051998255687304,0.24,0.06867160602231617
load_high,c_b_0.5x,$c_b$ 0.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13489157701203708,0.01288286832743317,0.4855220592535132,0.042055173421529694,0.6858,0.055295950170542854,0.7945599999999999,0.0331351814860242,0.24,0.06867160602231617
load_high,c_b_0x,$c_b$ 0x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13498243977903002,0.012884503057229156,0.4857329421183586,0.04206848846920009,0.6856,0.05561370524004237,0.79448,0.03320233628079391,0.24,0.06867160602231617
load_high,c_b_1.5x,$c_b$ 1.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13471086532266524,0.012879983657483324,0.4850993147640355,0.042028527108006086,0.6856,0.05485137814322013,0.7946666666666666,0.033003271934984785,0.242,0.0667753500059794
load_high,c_b_2x,$c_b$ 2x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13462070404563076,0.012878674710256513,0.4848875299587413,0.04201533406463197,0.6854,0.05471110731065398,0.7946311111111111,0.0329090679363097,0.242,0.0667753500059794
load_high,c_u_0.5x,$c_u$ 0.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13508966378543166,0.01288898935249386,0.4859750897365463,0.04207188341846389,0.6858,0.05538724915015236,0.7945866666666667,0.03303926299549144,0.24,0.06867160602231617
load_high,c_u_0x,$c_u$ 0x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13537900336887038,0.012896767943724154,0.4866387679731384,0.04210154431059532,0.687,0.055271578305862164,0.7945866666666667,0.033064980149407334,0.24,0.06867160602231617
load_high,c_u_1.5x,$c_u$ 1.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13451388804987213,0.01287395293912734,0.4846462066310787,0.04201195945121903,0.6848,0.05465451298359253,0.7947822222222223,0.0329360824668798,0.242,0.0667753500059794
load_high,c_u_2x,$c_u$ 2x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13422792250028764,0.01286627394802398,0.4839814356858524,0.04198121206609518,0.6841999999999999,0.05456005865099487,0.7947733333333333,0.03286854562872972,0.242,0.0667753500059794
load_high,c_v_0.5x,$c_v$ 0.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13499140074075278,0.012888516433223326,0.4856979286554398,0.04206959344929871,0.6858,0.05502114426099728,0.7946933333333333,0.03305863072825356,0.24,0.06867160602231617
load_high,c_v_0x,$c_v$ 0x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.1351822927791799,0.012895844179612757,0.4860851194844108,0.04209767308383169,0.6862,0.055158718354638335,0.7946666666666666,0.033028614211394726,0.24,0.06867160602231617
load_high,c_v_1.5x,$c_v$ 1.5x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.1346115369027387,0.012874072649616364,0.48492383434419584,0.042014600366974006,0.6849999999999999,0.055302041458464124,0.7946311111111111,0.03305331303022745,0.24,0.06867160602231617
load_high,c_v_2x,$c_v$ 2x,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.134422762415652,0.012866875819524438,0.48453740630771025,0.04198770255655172,0.6846,0.0545569716708574,0.7946311111111111,0.03305170258148229,0.24,0.06867160602231617
load_high,delta_u_0.04,$\delta_u=0.04$,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13480108941700847,0.012881327168125218,0.4853108535742373,0.042041800129235724,0.6854,0.05515566488060001,0.7946755555555556,0.033051998255687304,0.24,0.06867160602231617
load_high,delta_u_0.12,$\delta_u=0.12$,20,7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83,0.13480108941700847,0.012881327168125218,0.4853108535742373,0.042041800129235724,0.6854,0.05515566488060001,0.7946755555555556,0.033051998255687304,0.24,0.06867160602231617
